date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:54:14	4584/4584	---M--	200	added ('OK')	text/html	date:Wed,%2022%20Mar%202023%2015:54:13%20GMT	https://www.prt.cl/Paginas/QRRevisionTecnica.aspx?patente=bwrk64	C:/Mis%20lugares%20Web/Revision_Tecnica/www.prt.cl/Paginas/QRRevisionTecnicaa7da.html	(from )
12:54:15	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2022%20Mar%202023%2015:54:14%20GMT	https://www.prt.cl/robots.txt		(from )
12:54:15	49595/49595	---M-Z	200	added ('OK')	text/css	etag:W/%2228feccc0-c1bb%22	http://code.jquery.com/mobile/1.0rc2/jquery.mobile-1.0rc2.min.css	C:/Mis%20lugares%20Web/Revision_Tecnica/code.jquery.com/mobile/1.0rc2/jquery.mobile-1.0rc2.min.css	(from https://www.prt.cl/Paginas/QRRevisionTecnica.aspx?patente=bwrk64)
12:54:18	65887/65887	---M--	200	added ('OK')	application/x-javascript	etag:%22eb43ffc0191d11:0%22	https://www.prt.cl/Scripts/prts.min.js	C:/Mis%20lugares%20Web/Revision_Tecnica/www.prt.cl/Scripts/prts.min.js	(from https://www.prt.cl/Paginas/QRRevisionTecnica.aspx?patente=bwrk64)
12:54:19	910/910	---MC-	200	added ('OK')	text/javascript	date:Wed,%2022%20Mar%202023%2015:54:17%20GMT	https://www.google.com/recaptcha/api.js?onload=renderRecaptcha&render=explicit	C:/Mis%20lugares%20Web/Revision_Tecnica/www.google.com/recaptcha/api8c9b.js	(from https://www.prt.cl/Paginas/QRRevisionTecnica.aspx?patente=bwrk64)
12:54:19	2200/2200	---M--	200	added ('OK')	image/png	etag:%2262f659d6-898%22	http://code.jquery.com/mobile/1.0rc2/images/icons-18-white.png	C:/Mis%20lugares%20Web/Revision_Tecnica/code.jquery.com/mobile/1.0rc2/images/icons-18-white.png	(from http://code.jquery.com/mobile/1.0rc2/jquery.mobile-1.0rc2.min.css)
12:54:20	91669/91669	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-16615%22	http://code.jquery.com/jquery-1.6.4.min.js	C:/Mis%20lugares%20Web/Revision_Tecnica/code.jquery.com/jquery-1.6.4.min.js	(from https://www.prt.cl/Paginas/QRRevisionTecnica.aspx?patente=bwrk64)
12:54:20	79810/79810	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-137c2%22	http://code.jquery.com/mobile/1.0rc2/jquery.mobile-1.0rc2.min.js	C:/Mis%20lugares%20Web/Revision_Tecnica/code.jquery.com/mobile/1.0rc2/jquery.mobile-1.0rc2.min.js	(from https://www.prt.cl/Paginas/QRRevisionTecnica.aspx?patente=bwrk64)
12:54:20	2064/2064	---M--	200	added ('OK')	image/png	etag:%2228feccc0-810%22	http://code.jquery.com/mobile/1.0rc2/images/icons-18-black.png	C:/Mis%20lugares%20Web/Revision_Tecnica/code.jquery.com/mobile/1.0rc2/images/icons-18-black.png	(from http://code.jquery.com/mobile/1.0rc2/jquery.mobile-1.0rc2.min.css)
12:54:21	4020/4020	---M--	200	added ('OK')	image/png	etag:%2262f659d6-fb4%22	http://code.jquery.com/mobile/1.0rc2/images/icons-36-white.png	C:/Mis%20lugares%20Web/Revision_Tecnica/code.jquery.com/mobile/1.0rc2/images/icons-36-white.png	(from http://code.jquery.com/mobile/1.0rc2/jquery.mobile-1.0rc2.min.css)
12:54:21	3403/3403	---M--	200	added ('OK')	image/png	etag:%2228feccc0-d4b%22	http://code.jquery.com/mobile/1.0rc2/images/icons-36-black.png	C:/Mis%20lugares%20Web/Revision_Tecnica/code.jquery.com/mobile/1.0rc2/images/icons-36-black.png	(from http://code.jquery.com/mobile/1.0rc2/jquery.mobile-1.0rc2.min.css)
12:54:21	503/503	---M--	200	added ('OK')	image/png	etag:%22620cd6ff-1f7%22	http://code.jquery.com/mobile/1.0rc2/images/ajax-loader.png	C:/Mis%20lugares%20Web/Revision_Tecnica/code.jquery.com/mobile/1.0rc2/images/ajax-loader.png	(from http://code.jquery.com/mobile/1.0rc2/jquery.mobile-1.0rc2.min.css)
